"geoscale";"timescale";"module";"eucalc-name";"lever";"level";"string-pivot";"type-prefix";"module-prefix";"element";"item";"unit";"value";"interaction-file";"reference-id"
"constant";"constant";"constants";"cp_refinery-emission-factor_diesel[MtCO2/TWh]";"none";0;"none";"none";"cp";"refinery-emission-factor";"diesel";"MtCO2/TWh";0.241;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-emission-factor_gasoline[MtCO2/TWh]";"none";0;"none";"none";"cp";"refinery-emission-factor";"gasoline";"MtCO2/TWh";0.241;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-emission-factor_fuel-oil[MtCO2/TWh]";"none";0;"none";"none";"cp";"refinery-emission-factor";"fuel-oil";"MtCO2/TWh";0.241;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-emission-factor_kerosene[MtCO2/TWh]";"none";0;"none";"none";"cp";"refinery-emission-factor";"kerosene";"MtCO2/TWh";0.241;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-emission-factor_gas[MtCO2/TWh]";"none";0;"none";"none";"cp";"refinery-emission-factor";"gas";"MtCO2/TWh";0.20052;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-emission-factor_coal[MtCO2/TWh]";"none";0;"none";"none";"cp";"refinery-emission-factor";"coal";"MtCO2/TWh";0.241;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-yield_hydrogen-to-gas[GWh/GWh]";"none";0;"none";"none";"cp";"refinery-yield";"hydrogen-to-gas";"GWh/GWh";1.372;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_hydrogen-yield_gas[GWh/GWh]";"none";0;"none";"none";"cp";"hydrogen-yield";"gas";"GWh/GWh";1.372;"interactions_constants";"to-fill"
"constant";"constant";"constants";"cp_refinery-efficiency_energy-use[-]";"none";0;"none";"cp";"none";"refinery-efficiency";"energy-use";"-";0.0511;"interactions_constants";"missing-reference"
"constant";"constant";"constants";"cp_refinery-efficiency_loss[-]";"none";0;"none";"cp";"none";"refinery-efficiency";"loss";"-";0.0114;"interactions_constants";"missing-reference"
