Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2010","2010","1000 t","694","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2011","2011","1000 t","701","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2012","2012","1000 t","697","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2013","2013","1000 t","703","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2014","2014","1000 t","700","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2015","2015","1000 t","695","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2016","2016","1000 t","698","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2017","2017","1000 t","702","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2018","2018","1000 t","678","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2019","2019","1000 t","666","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2020","2020","1000 t","684","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2905","Cereals - Excluding Beer","2021","2021","1000 t","691","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2010","2010","1000 t","613","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2011","2011","1000 t","639","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2012","2012","1000 t","596","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2013","2013","1000 t","638","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2014","2014","1000 t","596","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2015","2015","1000 t","613","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2016","2016","1000 t","660","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2017","2017","1000 t","530","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2018","2018","1000 t","575","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2019","2019","1000 t","628","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2020","2020","1000 t","606","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2905","Cereals - Excluding Beer","2021","2021","1000 t","571","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2905","Cereals - Excluding Beer","2010","2010","1000 t","1","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2905","Cereals - Excluding Beer","2011","2011","1000 t","5","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2905","Cereals - Excluding Beer","2012","2012","1000 t","6","E","Estimated value"
